,dates,weekday,end_of_week,end_of_month
0,2012-05-29,1,False,False
1,2012-05-30,2,False,False
2,2012-05-31,3,False,True
3,2012-06-01,4,True,False
4,2012-06-04,0,False,False
5,2012-06-05,1,False,False
6,2012-06-06,2,False,False
7,2012-06-07,3,False,False
8,2012-06-08,4,True,False
9,2012-06-11,0,False,False
10,2012-06-12,1,False,False
11,2012-06-13,2,False,False
12,2012-06-14,3,False,False
13,2012-06-15,4,True,False
14,2012-06-18,0,False,False
15,2012-06-19,1,False,False
16,2012-06-20,2,False,False
17,2012-06-21,3,False,False
18,2012-06-22,4,True,False
19,2012-06-25,0,False,False
20,2012-06-26,1,False,False
21,2012-06-27,2,False,False
22,2012-06-28,3,False,False
23,2012-06-29,4,True,True
24,2012-07-02,0,False,False
25,2012-07-03,1,False,False
26,2012-07-05,3,False,False
27,2012-07-06,4,True,False
28,2012-07-09,0,False,False
29,2012-07-10,1,False,False
30,2012-07-11,2,False,False
31,2012-07-12,3,False,False
32,2012-07-13,4,True,False
33,2012-07-16,0,False,False
34,2012-07-17,1,False,False
35,2012-07-18,2,False,False
36,2012-07-19,3,False,False
37,2012-07-20,4,True,False
38,2012-07-23,0,False,False
39,2012-07-24,1,False,False
40,2012-07-25,2,False,False
41,2012-07-26,3,False,False
42,2012-07-27,4,True,False
43,2012-07-30,0,False,False
44,2012-07-31,1,False,True
45,2012-08-01,2,False,False
46,2012-08-02,3,False,False
47,2012-08-03,4,True,False
48,2012-08-06,0,False,False
49,2012-08-07,1,False,False
50,2012-08-08,2,False,False
51,2012-08-09,3,False,False
52,2012-08-10,4,True,False
53,2012-08-13,0,False,False
54,2012-08-14,1,False,False
55,2012-08-15,2,False,False
56,2012-08-16,3,False,False
57,2012-08-17,4,True,False
58,2012-08-20,0,False,False
59,2012-08-21,1,False,False
60,2012-08-22,2,False,False
61,2012-08-23,3,False,False
62,2012-08-24,4,True,False
63,2012-08-27,0,False,False
64,2012-08-28,1,False,False
65,2012-08-29,2,False,False
66,2012-08-30,3,False,False
67,2012-08-31,4,True,True
68,2012-09-04,1,False,False
69,2012-09-05,2,False,False
70,2012-09-06,3,False,False
71,2012-09-07,4,True,False
72,2012-09-10,0,False,False
73,2012-09-11,1,False,False
74,2012-09-12,2,False,False
75,2012-09-13,3,False,False
76,2012-09-14,4,True,False
77,2012-09-17,0,False,False
78,2012-09-18,1,False,False
79,2012-09-19,2,False,False
80,2012-09-20,3,False,False
81,2012-09-21,4,True,False
82,2012-09-24,0,False,False
83,2012-09-25,1,False,False
84,2012-09-26,2,False,False
85,2012-09-27,3,False,False
86,2012-09-28,4,True,True
87,2012-10-01,0,False,False
88,2012-10-02,1,False,False
89,2012-10-03,2,False,False
90,2012-10-04,3,False,False
91,2012-10-05,4,True,False
92,2012-10-08,0,False,False
93,2012-10-09,1,False,False
94,2012-10-10,2,False,False
95,2012-10-11,3,False,False
96,2012-10-12,4,True,False
97,2012-10-15,0,False,False
98,2012-10-16,1,False,False
99,2012-10-17,2,False,False
100,2012-10-18,3,False,False
101,2012-10-19,4,True,False
102,2012-10-22,0,False,False
103,2012-10-23,1,False,False
104,2012-10-24,2,False,False
105,2012-10-25,3,False,False
106,2012-10-26,4,True,False
107,2012-10-31,2,False,True
108,2012-11-01,3,False,False
109,2012-11-02,4,True,False
110,2012-11-05,0,False,False
111,2012-11-06,1,False,False
112,2012-11-07,2,False,False
113,2012-11-08,3,False,False
114,2012-11-09,4,True,False
115,2012-11-12,0,False,False
116,2012-11-13,1,False,False
117,2012-11-14,2,False,False
118,2012-11-15,3,False,False
119,2012-11-16,4,True,False
120,2012-11-19,0,False,False
121,2012-11-20,1,False,False
122,2012-11-21,2,False,False
123,2012-11-23,4,True,False
124,2012-11-26,0,False,False
125,2012-11-27,1,False,False
126,2012-11-28,2,False,False
127,2012-11-29,3,False,False
128,2012-11-30,4,True,True
129,2012-12-03,0,False,False
130,2012-12-04,1,False,False
131,2012-12-05,2,False,False
132,2012-12-06,3,False,False
133,2012-12-07,4,True,False
134,2012-12-10,0,False,False
135,2012-12-11,1,False,False
136,2012-12-12,2,False,False
137,2012-12-13,3,False,False
138,2012-12-14,4,True,False
139,2012-12-17,0,False,False
140,2012-12-18,1,False,False
141,2012-12-19,2,False,False
142,2012-12-20,3,False,False
143,2012-12-21,4,True,False
144,2012-12-24,0,False,False
145,2012-12-26,2,False,False
146,2012-12-27,3,False,False
147,2012-12-28,4,True,False
148,2012-12-31,0,False,True
149,2013-01-02,2,False,False
150,2013-01-03,3,False,False
151,2013-01-04,4,True,False
152,2013-01-07,0,False,False
153,2013-01-08,1,False,False
154,2013-01-09,2,False,False
155,2013-01-10,3,False,False
156,2013-01-11,4,True,False
157,2013-01-14,0,False,False
158,2013-01-15,1,False,False
159,2013-01-16,2,False,False
160,2013-01-17,3,False,False
161,2013-01-18,4,True,False
162,2013-01-22,1,False,False
163,2013-01-23,2,False,False
164,2013-01-24,3,False,False
165,2013-01-25,4,True,False
166,2013-01-28,0,False,False
167,2013-01-29,1,False,False
168,2013-01-30,2,False,False
169,2013-01-31,3,False,True
170,2013-02-01,4,True,False
171,2013-02-04,0,False,False
172,2013-02-05,1,False,False
173,2013-02-06,2,False,False
174,2013-02-07,3,False,False
175,2013-02-08,4,True,False
176,2013-02-11,0,False,False
177,2013-02-12,1,False,False
178,2013-02-13,2,False,False
179,2013-02-14,3,False,False
180,2013-02-15,4,True,False
181,2013-02-19,1,False,False
182,2013-02-20,2,False,False
183,2013-02-21,3,False,False
184,2013-02-22,4,True,False
185,2013-02-25,0,False,False
186,2013-02-26,1,False,False
187,2013-02-27,2,False,False
188,2013-02-28,3,False,True
189,2013-03-01,4,True,False
190,2013-03-04,0,False,False
191,2013-03-05,1,False,False
192,2013-03-06,2,False,False
193,2013-03-07,3,False,False
194,2013-03-08,4,True,False
195,2013-03-11,0,False,False
196,2013-03-12,1,False,False
197,2013-03-13,2,False,False
198,2013-03-14,3,False,False
199,2013-03-15,4,True,False
200,2013-03-18,0,False,False
201,2013-03-19,1,False,False
202,2013-03-20,2,False,False
