,dates,end_of_week,end_of_month
0,2003-06-05,False,False
1,2003-06-06,True,False
2,2003-06-09,False,False
3,2003-06-10,False,False
4,2003-06-11,False,False
5,2003-06-12,False,False
6,2003-06-13,True,False
7,2003-06-16,False,False
8,2003-06-17,False,False
9,2003-06-18,False,False
10,2003-06-19,False,False
11,2003-06-20,True,False
12,2003-06-23,False,False
13,2003-06-24,False,False
14,2003-06-25,False,False
15,2003-06-26,False,False
16,2003-06-27,True,False
17,2003-06-30,False,True
18,2003-07-01,False,False
19,2003-07-02,False,False
20,2003-07-03,False,False
21,2003-07-07,False,False
22,2003-07-08,False,False
23,2003-07-09,False,False
24,2003-07-10,False,False
25,2003-07-11,True,False
26,2003-07-14,False,False
27,2003-07-15,False,False
28,2003-07-16,False,False
29,2003-07-17,False,False
30,2003-07-18,True,False
31,2003-07-21,False,False
32,2003-07-22,False,False
33,2003-07-23,False,False
34,2003-07-24,False,False
35,2003-07-25,True,False
36,2003-07-28,False,False
37,2003-07-29,False,False
38,2003-07-30,False,False
39,2003-07-31,False,True
40,2003-08-01,True,False
41,2003-08-04,False,False
42,2003-08-05,False,False
43,2003-08-06,False,False
44,2003-08-07,False,False
45,2003-08-08,True,False
46,2003-08-11,False,False
47,2003-08-12,False,False
48,2003-08-13,False,False
49,2003-08-14,False,False
50,2003-08-15,True,False
51,2003-08-18,False,False
52,2003-08-19,False,False
53,2003-08-20,False,False
54,2003-08-21,False,False
55,2003-08-22,True,False
56,2003-08-25,False,False
57,2003-08-26,False,False
58,2003-08-27,False,False
59,2003-08-28,False,False
60,2003-08-29,True,True
61,2003-09-02,False,False
62,2003-09-03,False,False
63,2003-09-04,False,False
64,2003-09-05,True,False
65,2003-09-08,False,False
66,2003-09-09,False,False
67,2003-09-10,False,False
68,2003-09-11,False,False
69,2003-09-12,True,False
70,2003-09-15,False,False
71,2003-09-16,False,False
72,2003-09-17,False,False
73,2003-09-18,False,False
74,2003-09-19,True,False
75,2003-09-22,False,False
76,2003-09-23,False,False
77,2003-09-24,False,False
78,2003-09-25,False,False
79,2003-09-26,True,False
80,2003-09-29,False,False
81,2003-09-30,False,True
82,2003-10-01,False,False
83,2003-10-02,False,False
84,2003-10-03,True,False
85,2003-10-06,False,False
86,2003-10-07,False,False
87,2003-10-08,False,False
88,2003-10-09,False,False
89,2003-10-10,True,False
90,2003-10-13,False,False
91,2003-10-14,False,False
92,2003-10-15,False,False
93,2003-10-16,False,False
94,2003-10-17,True,False
95,2003-10-20,False,False
96,2003-10-21,False,False
97,2003-10-22,False,False
98,2003-10-23,False,False
99,2003-10-24,True,False
100,2003-10-27,False,False
101,2003-10-28,False,False
102,2003-10-29,False,False
103,2003-10-30,False,False
104,2003-10-31,True,True
105,2003-11-03,False,False
106,2003-11-04,False,False
107,2003-11-05,False,False
108,2003-11-06,False,False
109,2003-11-07,True,False
110,2003-11-10,False,False
111,2003-11-11,False,False
112,2003-11-12,False,False
113,2003-11-13,False,False
114,2003-11-14,True,False
115,2003-11-17,False,False
116,2003-11-18,False,False
117,2003-11-19,False,False
118,2003-11-20,False,False
119,2003-11-21,True,False
120,2003-11-24,False,False
121,2003-11-25,False,False
122,2003-11-26,False,False
123,2003-11-28,True,True
124,2003-12-01,False,False
125,2003-12-02,False,False
126,2003-12-03,False,False
127,2003-12-04,False,False
128,2003-12-05,True,False
129,2003-12-08,False,False
130,2003-12-09,False,False
131,2003-12-10,False,False
132,2003-12-11,False,False
133,2003-12-12,True,False
134,2003-12-15,False,False
135,2003-12-16,False,False
136,2003-12-17,False,False
137,2003-12-18,False,False
138,2003-12-19,True,False
139,2003-12-22,False,False
140,2003-12-23,False,False
141,2003-12-24,False,False
142,2003-12-26,True,False
143,2003-12-29,False,False
144,2003-12-30,False,False
145,2003-12-31,False,True
146,2004-01-02,True,False
147,2004-01-05,False,False
148,2004-01-06,False,False
149,2004-01-07,False,False
150,2004-01-08,False,False
151,2004-01-09,True,False
152,2004-01-12,False,False
153,2004-01-13,False,False
154,2004-01-14,False,False
155,2004-01-15,False,False
156,2004-01-16,True,False
157,2004-01-20,False,False
158,2004-01-21,False,False
159,2004-01-22,False,False
160,2004-01-23,True,False
161,2004-01-26,False,False
162,2004-01-27,False,False
163,2004-01-28,False,False
164,2004-01-29,False,False
165,2004-01-30,True,True
166,2004-02-02,False,False
167,2004-02-03,False,False
168,2004-02-04,False,False
169,2004-02-05,False,False
170,2004-02-06,True,False
171,2004-02-09,False,False
172,2004-02-10,False,False
173,2004-02-11,False,False
174,2004-02-12,False,False
175,2004-02-13,True,False
176,2004-02-17,False,False
177,2004-02-18,False,False
178,2004-02-19,False,False
179,2004-02-20,True,False
180,2004-02-23,False,False
181,2004-02-24,False,False
182,2004-02-25,False,False
183,2004-02-26,False,False
184,2004-02-27,True,True
185,2004-03-01,False,False
186,2004-03-02,False,False
187,2004-03-03,False,False
188,2004-03-04,False,False
189,2004-03-05,True,False
190,2004-03-08,False,False
191,2004-03-09,False,False
192,2004-03-10,False,False
193,2004-03-11,False,False
194,2004-03-12,True,False
195,2004-03-15,False,False
196,2004-03-16,False,False
197,2004-03-17,False,False
198,2004-03-18,False,False
199,2004-03-19,True,False
200,2004-03-22,False,False
201,2004-03-23,False,False
202,2004-03-24,False,False
203,2004-03-25,False,False
204,2004-03-26,True,False
205,2004-03-29,False,False
206,2004-03-30,False,False
207,2004-03-31,False,True
208,2004-04-01,False,False
209,2004-04-02,True,False
210,2004-04-05,False,False
211,2004-04-06,False,False
212,2004-04-07,False,False
213,2004-04-08,False,False
214,2004-04-12,False,False
215,2004-04-13,False,False
216,2004-04-14,False,False
217,2004-04-15,False,False
218,2004-04-16,True,False
219,2004-04-19,False,False
220,2004-04-20,False,False
221,2004-04-21,False,False
222,2004-04-22,False,False
223,2004-04-23,True,False
224,2004-04-26,False,False
225,2004-04-27,False,False
226,2004-04-28,False,False
227,2004-04-29,False,False
228,2004-04-30,True,True
229,2004-05-03,False,False
230,2004-05-04,False,False
231,2004-05-05,False,False
232,2004-05-06,False,False
233,2004-05-07,True,False
234,2004-05-10,False,False
235,2004-05-11,False,False
236,2004-05-12,False,False
237,2004-05-13,False,False
238,2004-05-14,True,False
239,2004-05-17,False,False
240,2004-05-18,False,False
241,2004-05-19,False,False
242,2004-05-20,False,False
243,2004-05-21,True,False
244,2004-05-24,False,False
245,2004-05-25,False,False
246,2004-05-26,False,False
247,2004-05-27,False,False
248,2004-05-28,True,True
249,2004-06-01,False,False
250,2004-06-02,False,False
251,2004-06-03,False,False
252,2004-06-04,True,False
253,2004-06-07,False,False
254,2004-06-08,False,False
255,2004-06-09,False,False
256,2004-06-10,False,False
257,2004-06-14,False,False
258,2004-06-15,False,False
259,2004-06-16,False,False
260,2004-06-17,False,False
261,2004-06-18,True,False
262,2004-06-21,False,False
263,2004-06-22,False,False
264,2004-06-23,False,False
265,2004-06-24,False,False
266,2004-06-25,True,False
267,2004-06-28,False,False
268,2004-06-29,False,False
269,2004-06-30,False,True
270,2004-07-01,False,False
271,2004-07-02,True,False
272,2004-07-06,False,False
273,2004-07-07,False,False
274,2004-07-08,False,False
275,2004-07-09,True,False
276,2004-07-12,False,False
277,2004-07-13,False,False
278,2004-07-14,False,False
279,2004-07-15,False,False
280,2004-07-16,True,False
281,2004-07-19,False,False
282,2004-07-20,False,False
283,2004-07-21,False,False
284,2004-07-22,False,False
285,2004-07-23,True,False
286,2004-07-26,False,False
287,2004-07-27,False,False
288,2004-07-28,False,False
289,2004-07-29,False,False
290,2004-07-30,True,True
291,2004-08-02,False,False
292,2004-08-03,False,False
293,2004-08-04,False,False
294,2004-08-05,False,False
295,2004-08-06,True,False
296,2004-08-09,False,False
297,2004-08-10,False,False
298,2004-08-11,False,False
299,2004-08-12,False,False
300,2004-08-13,True,False
301,2004-08-16,False,False
302,2004-08-17,False,False
303,2004-08-18,False,False
304,2004-08-19,False,False
305,2004-08-20,True,False
306,2004-08-23,False,False
307,2004-08-24,False,False
308,2004-08-25,False,False
309,2004-08-26,False,False
310,2004-08-27,True,False
311,2004-08-30,False,False
312,2004-08-31,False,True
313,2004-09-01,False,False
314,2004-09-02,False,False
315,2004-09-03,True,False
316,2004-09-07,False,False
317,2004-09-08,False,False
318,2004-09-09,False,False
319,2004-09-10,True,False
320,2004-09-13,False,False
321,2004-09-14,False,False
322,2004-09-15,False,False
323,2004-09-16,False,False
324,2004-09-17,True,False
325,2004-09-20,False,False
326,2004-09-21,False,False
327,2004-09-22,False,False
328,2004-09-23,False,False
329,2004-09-24,True,False
330,2004-09-27,False,False
331,2004-09-28,False,False
332,2004-09-29,False,False
333,2004-09-30,False,True
334,2004-10-01,True,False
335,2004-10-04,False,False
336,2004-10-05,False,False
337,2004-10-06,False,False
338,2004-10-07,False,False
339,2004-10-08,True,False
340,2004-10-11,False,False
341,2004-10-12,False,False
342,2004-10-13,False,False
343,2004-10-14,False,False
344,2004-10-15,True,False
345,2004-10-18,False,False
346,2004-10-19,False,False
347,2004-10-20,False,False
348,2004-10-21,False,False
349,2004-10-22,True,False
350,2004-10-25,False,False
351,2004-10-26,False,False
352,2004-10-27,False,False
353,2004-10-28,False,False
354,2004-10-29,True,True
355,2004-11-01,False,False
356,2004-11-02,False,False
357,2004-11-03,False,False
358,2004-11-04,False,False
359,2004-11-05,True,False
360,2004-11-08,False,False
361,2004-11-09,False,False
362,2004-11-10,False,False
363,2004-11-11,False,False
364,2004-11-12,True,False
365,2004-11-15,False,False
366,2004-11-16,False,False
367,2004-11-17,False,False
368,2004-11-18,False,False
369,2004-11-19,True,False
370,2004-11-22,False,False
371,2004-11-23,False,False
372,2004-11-24,False,False
373,2004-11-26,True,False
374,2004-11-29,False,False
375,2004-11-30,False,True
376,2004-12-01,False,False
377,2004-12-02,False,False
378,2004-12-03,True,False
379,2004-12-06,False,False
380,2004-12-07,False,False
381,2004-12-08,False,False
382,2004-12-09,False,False
383,2004-12-10,True,False
384,2004-12-13,False,False
385,2004-12-14,False,False
386,2004-12-15,False,False
387,2004-12-16,False,False
388,2004-12-17,True,False
389,2004-12-20,False,False
390,2004-12-21,False,False
391,2004-12-22,False,False
392,2004-12-23,False,False
393,2004-12-27,False,False
394,2004-12-28,False,False
395,2004-12-29,False,False
396,2004-12-30,False,False
397,2004-12-31,True,True
398,2005-01-03,False,False
399,2005-01-04,False,False
400,2005-01-05,False,False
401,2005-01-06,False,False
402,2005-01-07,True,False
403,2005-01-10,False,False
404,2005-01-11,False,False
405,2005-01-12,False,False
406,2005-01-13,False,False
407,2005-01-14,True,False
408,2005-01-18,False,False
409,2005-01-19,False,False
410,2005-01-20,False,False
411,2005-01-21,True,False
412,2005-01-24,False,False
413,2005-01-25,False,False
414,2005-01-26,False,False
415,2005-01-27,False,False
416,2005-01-28,True,False
417,2005-01-31,False,True
